strategy,holding_days,stop_loss_pct,take_profit_pct,total_trades,win_rate_pct,profit_factor,sharpe_ratio,max_drawdown_pct,total_return_pct,final_equity
CSUITE_CLUSTER,20,8.0,15.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CSUITE_CLUSTER,30,8.0,20.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CSUITE_CLUSTER,45,10.0,25.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CSUITE_CLUSTER,60,10.0,30.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CSUITE_CLUSTER,90,12.0,40.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CLUSTER_BUY,20,8.0,15.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CLUSTER_BUY,30,8.0,20.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CLUSTER_BUY,45,10.0,25.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CLUSTER_BUY,60,10.0,30.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CLUSTER_BUY,90,12.0,40.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CONVICTION,20,8.0,15.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CONVICTION,30,8.0,20.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CONVICTION,45,10.0,25.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CONVICTION,60,10.0,30.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
CONVICTION,90,12.0,40.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
INDUSTRY_MOMENTUM,20,8.0,15.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
INDUSTRY_MOMENTUM,30,8.0,20.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
INDUSTRY_MOMENTUM,45,10.0,25.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
INDUSTRY_MOMENTUM,60,10.0,30.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
INDUSTRY_MOMENTUM,90,12.0,40.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
COMBINED,20,8.0,15.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
COMBINED,30,8.0,20.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
COMBINED,45,10.0,25.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
COMBINED,60,10.0,30.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
COMBINED,90,12.0,40.0,0,0.0,0.0,0.0,0.0,0.0,100000.0
